model,store,product,horizon,smape,mase
Naive,S005,P0018,14,36.2544,0.7862
Naive,S005,P0019,14,55.2715,1.0868
Naive,S005,P0020,14,57.1693,1.0495
Naive,S001,P0001,28,55.1807,1.2811
Naive,S001,P0002,28,37.3547,0.8211
Naive,S001,P0003,28,62.8666,1.0952
Naive,S001,P0004,28,46.6518,0.9225
Naive,S001,P0005,28,35.9031,0.6993
Naive,S001,P0006,28,41.5106,0.6287
Naive,S001,P0007,28,75.36,1.162
Naive,S001,P0008,28,51.5275,1.2721
Naive,S001,P0009,28,36.0046,0.9586
Naive,S001,P0010,28,35.1809,0.7513
Naive,S001,P0011,28,48.7348,0.9203
Naive,S001,P0012,28,45.5371,0.8427
Naive,S001,P0013,28,47.104,0.9348
Naive,S001,P0014,28,38.9937,0.7223
Naive,S001,P0015,28,57.6545,1.0168
Naive,S001,P0016,28,42.7407,0.7181
Naive,S001,P0017,28,43.2639,0.8017
Naive,S001,P0018,28,35.9232,0.8118
Naive,S001,P0019,28,53.2505,1.0593
Naive,S001,P0020,28,49.1567,0.8267
Naive,S002,P0001,28,75.5684,1.2396
Naive,S002,P0002,28,73.5042,1.0988
Naive,S002,P0003,28,48.2267,0.7663
Naive,S002,P0004,28,63.7304,1.0498
Naive,S002,P0005,28,55.5097,1.01
Naive,S002,P0006,28,36.0748,0.948
Naive,S002,P0007,28,52.6734,0.9208
Naive,S002,P0008,28,43.6377,1.0585
Naive,S002,P0009,28,57.5311,1.544
Naive,S002,P0010,28,34.4963,0.8243
Naive,S002,P0011,28,69.3265,1.4633
Naive,S002,P0012,28,48.1908,0.92
Naive,S002,P0013,28,39.2422,0.6393
Naive,S002,P0014,28,72.7473,1.8313
Naive,S002,P0015,28,78.6374,1.2724
Naive,S002,P0016,28,44.7177,1.0403
Naive,S002,P0017,28,83.926,1.3408
Naive,S002,P0018,28,33.0901,0.8289
Naive,S002,P0019,28,43.095,0.8916
Naive,S002,P0020,28,61.9601,1.5476
Naive,S003,P0001,28,71.7173,1.8018
Naive,S003,P0002,28,46.3643,0.8965
Naive,S003,P0003,28,34.055,0.7723
Naive,S003,P0004,28,47.4952,0.9195
Naive,S003,P0005,28,61.2045,1.2167
Naive,S003,P0006,28,40.938,0.8089
Naive,S003,P0007,28,42.6605,0.7985
Naive,S003,P0008,28,34.4979,0.8067
Naive,S003,P0009,28,34.8932,0.8139
Naive,S003,P0010,28,40.2662,0.9475
Naive,S003,P0011,28,50.0712,0.9947
Naive,S003,P0012,28,46.5134,0.9497
Naive,S003,P0013,28,48.1746,0.7793
Naive,S003,P0014,28,45.3225,0.9486
Naive,S003,P0015,28,43.9196,0.7606
Naive,S003,P0016,28,68.0051,1.913
Naive,S003,P0017,28,50.6583,0.9845
Naive,S003,P0018,28,51.4026,1.0315
Naive,S003,P0019,28,33.6969,0.7636
Naive,S003,P0020,28,38.8784,0.9495
Naive,S004,P0001,28,39.5057,0.7073
Naive,S004,P0002,28,44.0647,0.7013
Naive,S004,P0003,28,48.9872,0.9556
Naive,S004,P0004,28,56.5455,1.3871
Naive,S004,P0005,28,39.9384,1.068
Naive,S004,P0006,28,40.6034,0.8459
Naive,S004,P0007,28,43.5774,0.8766
Naive,S004,P0008,28,49.6155,1.2455
Naive,S004,P0009,28,59.1402,1.5705
Naive,S004,P0010,28,50.022,1.042
Naive,S004,P0011,28,44.142,0.9654
Naive,S004,P0012,28,52.8866,1.4304
Naive,S004,P0013,28,53.5479,0.9028
Naive,S004,P0014,28,46.8619,0.9026
Naive,S004,P0015,28,50.7136,1.0062
Naive,S004,P0016,28,57.0804,1.2399
Naive,S004,P0017,28,27.8678,0.6818
Naive,S004,P0018,28,42.7711,0.8959
Naive,S004,P0019,28,45.8501,1.2486
Naive,S004,P0020,28,42.0901,0.7543
Naive,S005,P0001,28,49.2838,0.8485
Naive,S005,P0002,28,45.4285,0.909
Naive,S005,P0003,28,40.8524,0.7469
Naive,S005,P0004,28,45.3408,1.214
Naive,S005,P0005,28,46.0669,0.8943
Naive,S005,P0006,28,51.6098,1.1118
Naive,S005,P0007,28,63.52,1.0519
Naive,S005,P0008,28,45.5986,1.0325
Naive,S005,P0009,28,43.23,0.8089
Naive,S005,P0010,28,69.2283,1.4735
Naive,S005,P0011,28,53.6894,1.2427
Naive,S005,P0012,28,62.9227,1.2407
Naive,S005,P0013,28,44.9799,0.8514
Naive,S005,P0014,28,40.2847,0.7838
Naive,S005,P0015,28,36.2388,0.6376
Naive,S005,P0016,28,56.4635,0.984
Naive,S005,P0017,28,56.6457,1.0816
Naive,S005,P0018,28,32.8284,0.7418
Naive,S005,P0019,28,56.4081,1.0976
Naive,S005,P0020,28,51.385,0.926
