model,dataset,target,horizon,store,product,lookback,units1,dropout,lr,batch,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0011,30,16,0.3,0.001,32,sigmoid,40.83252,0.8601843,42.762393951416016,0.7556183338165283
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0012,30,16,0.3,0.001,32,sigmoid,38.078342,0.8297913,33.922828674316406,0.5761005878448486
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0013,30,16,0.3,0.001,32,sigmoid,40.461792,0.73331666,47.3029670715332,0.716325581073761
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0014,30,16,0.3,0.001,32,sigmoid,37.992825,0.75323445,30.48102569580078,0.6551700234413147
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0015,30,16,0.3,0.001,32,sigmoid,35.93196,0.69012225,41.13089370727539,0.688398540019989
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0016,30,16,0.3,0.001,32,sigmoid,49.298508,0.8077487,42.918243408203125,0.8931019902229309
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0017,30,16,0.3,0.001,32,sigmoid,43.06234,0.7963171,37.58560562133789,0.685584545135498
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0018,30,16,0.3,0.001,32,sigmoid,29.57457,0.686846,34.6048698425293,0.37025657296180725
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0019,30,16,0.3,0.001,32,sigmoid,39.738506,0.79549414,29.67818260192871,0.5145710706710815
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0020,30,16,0.3,0.001,32,sigmoid,36.415154,0.68590945,30.04121208190918,0.580888569355011
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0001,30,16,0.3,0.001,32,sigmoid,37.083904,0.8935939,40.15837478637695,0.49102768301963806
