model,store,product,horizon,smape,mase,rmse,rmsle
SARIMAX,S003,P0002,14,43.0626,0.8937,56.0662,0.806
SARIMAX,S003,P0003,14,33.2689,0.7411,33.7893,0.4641
SARIMAX,S003,P0004,14,59.3484,1.0772,68.7106,0.8644
SARIMAX,S003,P0005,14,82.6289,1.6228,72.4905,1.3293
SARIMAX,S003,P0006,14,42.8407,0.9233,38.5856,0.6258
SARIMAX,S003,P0007,14,39.8323,0.7922,51.263,0.5374
SARIMAX,S003,P0008,14,40.6424,0.7565,48.5258,0.5185
SARIMAX,S003,P0009,14,43.953,1.2696,46.1537,0.5402
SARIMAX,S003,P0010,14,39.1977,0.7957,44.861,0.5837
SARIMAX,S003,P0011,14,50.8784,0.9794,52.0372,1.0095
SARIMAX,S003,P0012,14,53.4029,1.4284,45.1246,0.7738
SARIMAX,S003,P0013,14,43.6682,0.9745,46.2667,0.8859
SARIMAX,S003,P0014,14,40.9615,1.0006,57.639,0.5448
SARIMAX,S003,P0015,14,42.673,0.7373,50.3593,0.8134
SARIMAX,S003,P0016,14,63.7929,1.6191,99.8512,0.9076
SARIMAX,S003,P0017,14,64.026,1.2361,46.4476,0.8722
SARIMAX,S003,P0018,14,47.3374,1.2496,38.6581,0.6294
SARIMAX,S003,P0019,14,42.6958,1.0967,42.2329,0.5569
SARIMAX,S003,P0020,14,37.8611,0.5581,53.4008,0.4816
SARIMAX,S004,P0001,14,38.7515,0.6266,46.0264,0.7877
SARIMAX,S004,P0002,14,43.2232,0.5884,42.9691,0.7255
SARIMAX,S004,P0003,14,48.0011,1.2353,44.1511,0.6627
SARIMAX,S004,P0004,14,43.4329,1.2691,71.5549,0.8518
SARIMAX,S004,P0005,14,45.7046,1.8507,47.9857,0.5623
SARIMAX,S004,P0006,14,40.4192,1.3895,49.9756,0.5421
SARIMAX,S004,P0007,14,44.088,0.9543,57.1393,0.6409
SARIMAX,S004,P0008,14,51.9633,1.0732,39.2722,0.682
SARIMAX,S004,P0009,14,46.8522,0.9186,63.6819,0.9452
SARIMAX,S004,P0010,14,51.2413,0.8984,66.1532,0.7576
SARIMAX,S004,P0011,14,40.9455,1.1018,54.7023,0.5555
SARIMAX,S004,P0012,14,46.9027,1.1065,48.3126,0.5957
SARIMAX,S004,P0013,14,52.8521,0.9082,57.0284,0.7312
SARIMAX,S004,P0014,14,43.9284,0.7069,38.5029,0.5937
SARIMAX,S004,P0015,14,57.1163,1.0379,41.8299,0.7783
SARIMAX,S004,P0016,14,53.1575,0.9852,45.8746,0.8542
SARIMAX,S004,P0017,14,42.5405,1.1342,44.3668,0.6016
