model,store,product,horizon,smape,mase
SNaive,S003,P0005,28,59.8621,1.0713
SNaive,S003,P0006,28,48.2134,0.9798
SNaive,S003,P0007,28,37.9027,0.8027
SNaive,S003,P0008,28,38.0604,0.9486
SNaive,S003,P0009,28,45.0724,1.0679
SNaive,S003,P0010,28,46.813,1.0056
SNaive,S003,P0011,28,56.3127,1.0128
SNaive,S003,P0012,28,47.8,1.101
SNaive,S003,P0013,28,50.1174,0.8777
SNaive,S003,P0014,28,45.968,1.0255
SNaive,S003,P0015,28,54.2099,0.9007
SNaive,S003,P0016,28,47.3511,1.0046
SNaive,S003,P0017,28,51.6674,1.1326
SNaive,S003,P0018,28,45.9207,0.9877
SNaive,S003,P0019,28,38.2179,0.8657
SNaive,S003,P0020,28,46.8382,1.0711
SNaive,S004,P0001,28,59.3793,1.1985
SNaive,S004,P0002,28,67.9983,1.0611
SNaive,S004,P0003,28,60.5612,1.3593
SNaive,S004,P0004,28,59.5439,1.1642
SNaive,S004,P0005,28,41.3212,1.0755
SNaive,S004,P0006,28,44.7634,0.8261
SNaive,S004,P0007,28,55.0808,1.1065
SNaive,S004,P0008,28,50.3537,1.1722
SNaive,S004,P0009,28,52.2064,1.1542
SNaive,S004,P0010,28,63.0887,1.067
SNaive,S004,P0011,28,44.9948,1.0623
SNaive,S004,P0012,28,43.7114,1.2615
SNaive,S004,P0013,28,66.4302,1.1529
SNaive,S004,P0014,28,51.4856,1.0105
SNaive,S004,P0015,28,49.2914,0.9129
SNaive,S004,P0016,28,62.2104,1.2106
SNaive,S004,P0017,28,39.8959,0.9675
SNaive,S004,P0018,28,44.4287,0.9585
SNaive,S004,P0019,28,38.1681,0.9348
SNaive,S004,P0020,28,60.0083,1.0823
SNaive,S005,P0001,28,55.5978,0.9549
SNaive,S005,P0002,28,54.6932,1.1788
SNaive,S005,P0003,28,47.7934,0.9423
SNaive,S005,P0004,28,43.8064,1.1428
SNaive,S005,P0005,28,48.6061,1.0045
SNaive,S005,P0006,28,50.8999,1.1988
SNaive,S005,P0007,28,41.4477,0.8368
SNaive,S005,P0008,28,43.7477,0.9228
SNaive,S005,P0009,28,44.446,0.8839
SNaive,S005,P0010,28,54.9775,1.2388
SNaive,S005,P0011,28,58.1397,1.2023
SNaive,S005,P0012,28,48.9186,1.0978
SNaive,S005,P0013,28,51.8162,0.9498
SNaive,S005,P0014,28,48.2305,1.0301
SNaive,S005,P0015,28,56.761,1.0411
SNaive,S005,P0016,28,76.7578,1.3308
SNaive,S005,P0017,28,56.6893,1.2348
SNaive,S005,P0018,28,40.4771,0.9344
SNaive,S005,P0019,28,44.6093,0.8801
SNaive,S005,P0020,28,49.762,0.962
