model,store,product,horizon,smape,mase
ETS,S003,P0003,28,35.4444,1.156
ETS,S003,P0004,28,43.8673,0.707
ETS,S003,P0005,28,47.8975,0.983
ETS,S003,P0006,28,41.4153,0.8995
ETS,S003,P0007,28,37.6711,0.8598
ETS,S003,P0008,28,31.361,0.8498
ETS,S003,P0009,28,35.629,0.7429
ETS,S003,P0010,28,30.0099,0.5824
ETS,S003,P0011,28,48.4675,0.7169
ETS,S003,P0012,28,40.3203,0.9518
ETS,S003,P0013,28,37.7001,1.021
ETS,S003,P0014,28,37.4099,0.9412
ETS,S003,P0015,28,41.299,0.5918
ETS,S003,P0016,28,37.0023,0.7375
ETS,S003,P0017,28,45.9001,0.8603
ETS,S003,P0018,28,42.5513,1.1953
ETS,S003,P0019,28,28.0414,0.7087
ETS,S003,P0020,28,55.7829,0.9481
ETS,S004,P0001,28,38.9929,0.5991
ETS,S004,P0002,28,44.859,0.6633
ETS,S004,P0003,28,47.1503,0.8612
ETS,S004,P0004,28,40.1627,0.5919
ETS,S004,P0005,28,31.7674,1.0432
ETS,S004,P0006,28,42.6156,1.2316
ETS,S004,P0007,28,43.989,0.6996
ETS,S004,P0008,28,41.3671,0.7424
ETS,S004,P0009,28,36.0437,0.6436
ETS,S004,P0010,28,42.3533,0.6866
ETS,S004,P0011,28,35.658,0.6274
ETS,S004,P0012,28,49.1988,1.4623
ETS,S004,P0013,28,44.3658,0.7453
ETS,S004,P0014,28,41.7103,0.7472
ETS,S004,P0015,28,47.1028,0.9447
ETS,S004,P0016,28,44.469,0.5369
ETS,S004,P0017,28,28.7334,0.6457
ETS,S004,P0018,28,38.7581,0.9556
ETS,S004,P0019,28,28.3444,0.8353
ETS,S004,P0020,28,42.158,0.6388
ETS,S005,P0001,28,40.1202,0.6792
ETS,S005,P0002,28,46.398,0.6683
ETS,S005,P0003,28,44.7744,0.958
ETS,S005,P0004,28,33.9073,0.7489
ETS,S005,P0005,28,42.009,0.9358
ETS,S005,P0006,28,45.2124,0.6586
ETS,S005,P0007,28,37.4711,1.1241
ETS,S005,P0008,28,38.1237,0.8261
ETS,S005,P0009,28,40.1181,0.5842
ETS,S005,P0010,28,45.7022,1.1672
ETS,S005,P0011,28,48.3224,1.0376
ETS,S005,P0012,28,47.7212,1.0201
ETS,S005,P0013,28,40.7854,0.6389
ETS,S005,P0014,28,40.5758,0.783
ETS,S005,P0015,28,36.6549,1.01
ETS,S005,P0016,28,54.2318,0.8875
ETS,S005,P0017,28,55.78,1.0901
ETS,S005,P0018,28,30.6765,0.8849
ETS,S005,P0019,28,47.4126,0.8825
ETS,S005,P0020,28,44.9891,1.1304
