model,dataset,target,horizon,store,product,lookback,lstm_units,dropout,lr,batch_size,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,32.729527,0.87778133,34.54100799560547,0.41511470079421997
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,42.20132,0.76881784,50.575927734375,0.7110435366630554
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0014,30,128,0.25624440198425424,0.000225332406953683,256,relu,42.034756,0.8205931,34.298030853271484,0.5868876576423645
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0015,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.987225,0.80288786,32.895111083984375,0.5759541988372803
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0016,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.086857,0.77447075,31.47739601135254,0.7198960185050964
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0017,30,128,0.25624440198425424,0.000225332406953683,256,relu,28.234676,0.6954238,33.227134704589844,0.40588924288749695
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0018,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.656933,0.78205365,26.445798873901367,0.5361582636833191
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0019,30,128,0.25624440198425424,0.000225332406953683,256,relu,29.641962,0.75067496,35.41734313964844,0.42001646757125854
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0020,30,128,0.25624440198425424,0.000225332406953683,256,relu,43.25243,0.8265391,32.98322296142578,0.7453213930130005
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0001,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.665386,0.6924499,44.072322845458984,0.7493823766708374
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0002,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.266388,0.7686077,38.642391204833984,0.45970413088798523
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0003,30,128,0.25624440198425424,0.000225332406953683,256,relu,43.187534,0.8170882,36.99738311767578,0.657351553440094
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0004,30,128,0.25624440198425424,0.000225332406953683,256,relu,34.201294,0.8038937,40.31891632080078,0.471159428358078
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0005,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.294083,0.7128756,41.746212005615234,0.818354070186615
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0006,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.848106,0.69307333,47.21022033691406,0.6693620681762695
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0007,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.084095,0.7291063,44.85075759887695,0.5178952217102051
