model,store,product,horizon,smape,mase,rmse,rmsle
MNaive,S005,P0003,28,49.9368,1.0674,44.7171,0.775
MNaive,S005,P0004,28,34.1575,0.7536,41.1087,0.4825
MNaive,S005,P0005,28,42.009,0.9358,46.82,0.8496
MNaive,S005,P0006,28,43.7064,0.6155,56.6328,0.7501
MNaive,S005,P0007,28,37.4711,1.1241,48.9491,0.5176
MNaive,S005,P0008,28,31.4777,0.705,34.4644,0.3984
MNaive,S005,P0009,28,40.1181,0.5842,48.6064,0.8556
MNaive,S005,P0010,28,36.6936,0.8291,47.1187,0.5037
MNaive,S005,P0011,28,48.3224,1.0376,47.6279,0.7982
MNaive,S005,P0012,28,47.3271,1.0108,40.3138,0.6271
MNaive,S005,P0013,28,40.9174,0.6412,48.7542,0.5398
MNaive,S005,P0014,28,42.8401,0.8187,34.8761,0.6989
MNaive,S005,P0015,28,36.6549,1.01,41.9342,0.6896
MNaive,S005,P0016,28,58.1383,0.9388,50.0755,0.9697
MNaive,S005,P0017,28,58.1893,1.0264,49.4756,0.8669
MNaive,S005,P0018,28,30.6765,0.8849,35.4086,0.3811
MNaive,S005,P0019,28,48.8895,0.9044,36.9181,0.6533
MNaive,S005,P0020,28,41.8133,0.9662,33.4269,0.6245
