model,store,product,horizon,mase
Chronos-Bolt-Small,S002,P0012,28,0.8437
Chronos-Bolt-Small,S002,P0013,28,0.669
Chronos-Bolt-Small,S002,P0014,28,0.8389
Chronos-Bolt-Small,S002,P0015,28,0.6547
Chronos-Bolt-Small,S002,P0016,28,0.5782
Chronos-Bolt-Small,S002,P0017,28,0.8907
Chronos-Bolt-Small,S002,P0018,28,0.6282
Chronos-Bolt-Small,S002,P0019,28,0.5417
Chronos-Bolt-Small,S002,P0020,28,0.7954
Chronos-Bolt-Small,S003,P0001,28,0.7074
Chronos-Bolt-Small,S003,P0002,28,0.7848
Chronos-Bolt-Small,S003,P0003,28,0.6855
Chronos-Bolt-Small,S003,P0004,28,0.7261
Chronos-Bolt-Small,S003,P0005,28,0.7552
Chronos-Bolt-Small,S003,P0006,28,0.8917
Chronos-Bolt-Small,S003,P0007,28,0.9906
Chronos-Bolt-Small,S003,P0008,28,0.6496
Chronos-Bolt-Small,S003,P0009,28,0.5871
Chronos-Bolt-Small,S003,P0010,28,0.8447
Chronos-Bolt-Small,S003,P0011,28,0.8506
Chronos-Bolt-Small,S003,P0012,28,0.8781
Chronos-Bolt-Small,S003,P0013,28,0.6193
Chronos-Bolt-Small,S003,P0014,28,0.7816
Chronos-Bolt-Small,S003,P0015,28,0.6771
Chronos-Bolt-Small,S003,P0016,28,0.4324
Chronos-Bolt-Small,S003,P0017,28,0.7686
Chronos-Bolt-Small,S003,P0018,28,1.0488
Chronos-Bolt-Small,S003,P0019,28,0.6307
Chronos-Bolt-Small,S003,P0020,28,0.483
Chronos-Bolt-Small,S004,P0001,28,0.6436
Chronos-Bolt-Small,S004,P0002,28,0.7395
Chronos-Bolt-Small,S004,P0003,28,0.9269
Chronos-Bolt-Small,S004,P0004,28,0.6283
Chronos-Bolt-Small,S004,P0005,28,0.7553
Chronos-Bolt-Small,S004,P0006,28,0.6185
Chronos-Bolt-Small,S004,P0007,28,0.8354
Chronos-Bolt-Small,S004,P0008,28,0.8302
Chronos-Bolt-Small,S004,P0009,28,0.508
Chronos-Bolt-Small,S004,P0010,28,0.7014
Chronos-Bolt-Small,S004,P0011,28,0.5919
Chronos-Bolt-Small,S004,P0012,28,1.0759
Chronos-Bolt-Small,S004,P0013,28,0.7223
Chronos-Bolt-Small,S004,P0014,28,0.7541
Chronos-Bolt-Small,S004,P0015,28,0.8995
Chronos-Bolt-Small,S004,P0016,28,0.7195
Chronos-Bolt-Small,S004,P0017,28,0.6428
Chronos-Bolt-Small,S004,P0018,28,0.8803
Chronos-Bolt-Small,S004,P0019,28,0.6869
Chronos-Bolt-Small,S004,P0020,28,0.7292
Chronos-Bolt-Small,S005,P0001,28,0.6209
Chronos-Bolt-Small,S005,P0002,28,0.7337
Chronos-Bolt-Small,S005,P0003,28,0.7591
Chronos-Bolt-Small,S005,P0004,28,0.6486
Chronos-Bolt-Small,S005,P0005,28,0.7446
Chronos-Bolt-Small,S005,P0006,28,0.7166
Chronos-Bolt-Small,S005,P0007,28,0.6855
Chronos-Bolt-Small,S005,P0008,28,0.6303
Chronos-Bolt-Small,S005,P0009,28,0.5801
Chronos-Bolt-Small,S005,P0010,28,0.7341
Chronos-Bolt-Small,S005,P0011,28,0.8687
Chronos-Bolt-Small,S005,P0012,28,1.1162
Chronos-Bolt-Small,S005,P0013,28,0.6388
Chronos-Bolt-Small,S005,P0014,28,0.631
Chronos-Bolt-Small,S005,P0015,28,0.6621
Chronos-Bolt-Small,S005,P0016,28,0.8125
Chronos-Bolt-Small,S005,P0017,28,0.7812
Chronos-Bolt-Small,S005,P0018,28,0.6536
Chronos-Bolt-Small,S005,P0019,28,0.8818
Chronos-Bolt-Small,S005,P0020,28,0.6976
