model,store,product,horizon,smape,mase,rmse,rmsle
Prophet,S004,P0007,28,60.9257,0.9136,71.9681,0.8436
Prophet,S004,P0008,28,46.0789,0.8264,35.3657,0.6605
Prophet,S004,P0009,28,48.1994,0.9556,58.748,0.9297
Prophet,S004,P0010,28,54.9569,0.871,63.3493,0.8105
Prophet,S004,P0011,28,38.0802,0.6819,52.969,0.5393
Prophet,S004,P0012,28,44.7379,1.3592,54.3082,0.5644
Prophet,S004,P0013,28,73.6242,1.0202,69.0126,1.1907
Prophet,S004,P0014,28,51.5785,0.8699,41.1575,0.6978
Prophet,S004,P0015,28,53.4541,1.0875,39.6673,0.6987
Prophet,S004,P0016,28,56.6628,0.7189,43.4948,0.8595
Prophet,S004,P0017,28,32.8412,0.7829,39.4511,0.4572
Prophet,S004,P0018,28,46.1726,1.2073,33.6798,0.6402
Prophet,S004,P0019,28,33.5132,1.0121,42.7119,0.4974
Prophet,S004,P0020,28,62.5942,0.8249,40.9371,1.1022
Prophet,S005,P0001,28,45.2909,0.787,52.4555,0.8072
Prophet,S005,P0002,28,66.1397,0.9043,62.6473,0.8749
Prophet,S005,P0003,28,48.8458,0.9887,42.0547,0.7329
Prophet,S005,P0004,28,41.816,0.9868,54.2473,0.6045
Prophet,S005,P0005,28,43.2001,1.0388,52.9611,0.8715
Prophet,S005,P0006,28,49.1169,0.7759,70.0908,0.8336
Prophet,S005,P0007,28,42.1812,1.2968,54.5933,0.562
Prophet,S005,P0008,28,42.0922,0.8996,43.5819,0.527
Prophet,S005,P0009,28,39.4697,0.596,50.8114,0.8608
Prophet,S005,P0010,28,49.7285,1.3165,70.6778,0.6628
Prophet,S005,P0011,28,49.5937,1.1037,48.5791,0.8047
Prophet,S005,P0012,28,52.1448,1.273,47.8712,0.6488
Prophet,S005,P0013,28,62.8424,0.8582,64.6504,0.8985
Prophet,S005,P0014,28,41.4498,0.8024,34.0559,0.6914
Prophet,S005,P0015,28,46.0667,1.2556,52.3166,0.7739
Prophet,S005,P0016,28,88.0179,1.3746,72.4021,1.713
Prophet,S005,P0017,28,56.7835,1.1487,54.229,0.8691
Prophet,S005,P0018,28,31.5219,0.8844,38.2556,0.4198
Prophet,S005,P0019,28,52.5388,1.0032,41.441,0.7272
Prophet,S005,P0020,28,43.5584,1.0978,39.1551,0.6993
