model,store,product,horizon,smape,mase
ARIMA_FAST,S002,P0012,28,34.5375,0.6868
ARIMA_FAST,S002,P0013,28,39.2513,0.6423
ARIMA_FAST,S002,P0014,28,43.2889,0.8274
ARIMA_FAST,S002,P0015,28,35.9428,0.7421
ARIMA_FAST,S002,P0016,28,36.5324,0.7969
ARIMA_FAST,S002,P0017,28,47.6281,0.7343
ARIMA_FAST,S002,P0018,28,30.2848,0.7645
ARIMA_FAST,S002,P0019,28,33.7749,0.6741
ARIMA_FAST,S002,P0020,28,39.8687,0.7737
ARIMA_FAST,S003,P0001,28,49.6775,0.8662
ARIMA_FAST,S003,P0002,28,41.5856,0.7381
ARIMA_FAST,S003,P0003,28,33.9619,0.779
ARIMA_FAST,S003,P0004,28,41.0288,0.8233
ARIMA_FAST,S003,P0005,28,47.009,0.7807
ARIMA_FAST,S003,P0006,28,41.4264,0.8287
ARIMA_FAST,S003,P0007,28,32.9971,0.6282
ARIMA_FAST,S003,P0008,28,30.5246,0.7189
ARIMA_FAST,S003,P0009,28,34.4632,0.8222
ARIMA_FAST,S003,P0010,28,31.1096,0.6774
ARIMA_FAST,S003,P0011,28,43.4058,0.8142
ARIMA_FAST,S003,P0012,28,40.5284,0.8133
ARIMA_FAST,S003,P0013,28,37.8583,0.6425
ARIMA_FAST,S003,P0014,28,35.5578,0.7925
ARIMA_FAST,S003,P0015,28,38.6824,0.6341
ARIMA_FAST,S003,P0016,28,35.2822,0.6921
ARIMA_FAST,S003,P0017,28,42.6002,0.8259
ARIMA_FAST,S003,P0018,28,39.7776,0.7985
ARIMA_FAST,S003,P0019,28,25.0409,0.5692
ARIMA_FAST,S003,P0020,28,32.7453,0.7879
ARIMA_FAST,S004,P0001,28,38.5458,0.7223
ARIMA_FAST,S004,P0002,28,41.8273,0.6747
ARIMA_FAST,S004,P0003,28,43.0211,0.8953
ARIMA_FAST,S004,P0004,28,38.3409,0.7183
ARIMA_FAST,S004,P0005,28,31.8889,0.7829
ARIMA_FAST,S004,P0006,28,34.8059,0.6069
ARIMA_FAST,S004,P0007,28,40.5369,0.7964
ARIMA_FAST,S004,P0008,28,39.6479,0.8606
ARIMA_FAST,S004,P0009,28,35.5843,0.7089
ARIMA_FAST,S004,P0010,28,41.4579,0.7633
ARIMA_FAST,S004,P0011,28,36.0504,0.8132
ARIMA_FAST,S004,P0012,28,34.5767,0.9065
ARIMA_FAST,S004,P0013,28,39.5008,0.7126
ARIMA_FAST,S004,P0014,28,39.9613,0.7254
ARIMA_FAST,S004,P0015,28,40.1718,0.711
ARIMA_FAST,S004,P0016,28,43.0872,0.803
ARIMA_FAST,S004,P0017,28,29.0936,0.71
ARIMA_FAST,S004,P0018,28,33.963,0.6623
ARIMA_FAST,S004,P0019,28,29.9089,0.757
ARIMA_FAST,S004,P0020,28,41.1916,0.7558
ARIMA_FAST,S005,P0001,28,37.5625,0.6585
ARIMA_FAST,S005,P0002,28,38.0304,0.808
ARIMA_FAST,S005,P0003,28,43.1785,0.8073
ARIMA_FAST,S005,P0004,28,33.2343,0.7609
ARIMA_FAST,S005,P0005,28,36.9833,0.7121
ARIMA_FAST,S005,P0006,28,36.9187,0.7305
ARIMA_FAST,S005,P0007,28,36.4491,0.7092
ARIMA_FAST,S005,P0008,28,30.1535,0.6453
ARIMA_FAST,S005,P0009,28,37.924,0.7401
ARIMA_FAST,S005,P0010,28,36.7003,0.6864
ARIMA_FAST,S005,P0011,28,42.9603,0.8823
ARIMA_FAST,S005,P0012,28,39.1855,0.8706
ARIMA_FAST,S005,P0013,28,38.1667,0.6953
ARIMA_FAST,S005,P0014,28,38.1699,0.7477
ARIMA_FAST,S005,P0015,28,37.0703,0.6619
ARIMA_FAST,S005,P0016,28,48.5055,0.788
ARIMA_FAST,S005,P0017,28,45.36,0.8344
ARIMA_FAST,S005,P0018,28,29.4621,0.6594
ARIMA_FAST,S005,P0019,28,42.8446,0.8334
ARIMA_FAST,S005,P0020,28,35.0644,0.6372
